,Unnamed: 0,SEXO,EDAD,CH07,CH15,NIVEL_ED,ESTADO,AM01,V1,V2,V3,IX_TOT,ESTRATO_HOGAR,IPCF
3243,3243,2,60,2,3,2,1,2,1,2,2,9,3,671.111083984375
3244,3244,1,63,2,1,3,1,2,1,2,2,9,3,671.111083984375
3245,3245,2,64,4,2,2,1,1,1,1,2,1,1,1400.0
3246,3246,2,71,5,1,6,3,1,2,1,2,3,3,2400.0
3247,3247,1,62,3,1,1,3,1,1,2,2,13,3,1255.0
3248,3248,2,79,2,3,2,3,2,2,1,2,2,2,3540.0
3249,3249,1,75,2,1,5,3,2,2,1,2,2,2,3540.0
3250,3250,2,63,4,1,2,3,1,1,1,2,3,3,1866.6666259765625
3251,3251,2,64,2,3,7,3,1,2,1,2,3,2,2233.333251953125
3252,3252,1,87,1,1,2,3,1,1,1,2,4,3,1600.0
3253,3253,1,72,2,1,1,3,1,2,1,2,3,2,2233.333251953125
3254,3254,2,77,4,3,7,3,2,2,1,2,3,2,2233.333251953125
3255,3255,1,63,2,1,1,1,2,1,2,2,2,3,2300.0
3256,3256,2,76,2,1,1,3,1,2,1,2,2,2,2300.0
3257,3257,1,82,2,1,7,3,1,2,1,2,2,2,2300.0
3258,3258,1,61,4,1,2,3,1,1,2,2,9,3,718.888916015625
3259,3259,1,71,2,1,3,3,1,1,1,2,4,3,1650.0
3260,3260,2,68,2,1,2,3,1,1,1,2,4,3,1650.0
3261,3261,1,63,2,1,2,1,1,1,2,2,4,3,3700.0
3262,3262,2,74,4,1,2,3,2,1,1,2,3,3,1560.0
3263,3263,1,64,2,2,1,1,1,1,2,2,3,3,1666.6666259765625
3264,3264,2,63,3,2,2,3,2,1,1,2,4,3,2275.0
3265,3265,2,66,2,1,2,3,1,1,1,2,2,2,1500.0
3266,3266,1,66,2,1,3,1,2,1,1,2,2,2,1500.0
3267,3267,2,95,4,2,2,3,2,1,1,2,4,3,2275.0
3268,3268,2,78,4,1,2,3,1,1,1,2,2,3,2280.0
3269,3269,2,81,4,1,3,3,1,1,1,2,6,3,1613.3333740234375
3270,3270,1,62,2,2,2,1,2,1,2,2,6,3,1050.0
3271,3271,2,61,3,1,2,3,2,1,1,2,2,3,1215.0
3272,3272,2,62,4,1,3,3,1,2,1,2,2,3,1750.0
3273,3273,2,73,2,2,4,3,1,1,1,2,3,3,3666.666748046875
3274,3274,1,76,2,2,4,3,1,1,1,2,3,3,3666.666748046875
3275,3275,1,60,1,1,2,1,1,1,2,2,4,3,470.0
3276,3276,1,81,4,4,1,3,1,1,1,2,5,3,1500.0
3277,3277,2,69,3,1,2,1,1,1,1,2,5,3,1500.0
3278,3278,1,62,2,1,7,3,1,1,1,2,4,3,625.0
3279,3279,2,75,2,1,2,3,1,2,1,2,3,3,1200.0
3280,3280,2,67,1,3,2,3,2,1,1,2,2,3,1550.0
3281,3281,1,81,2,2,1,3,1,2,1,2,3,3,1200.0
3282,3282,2,69,4,1,1,3,2,2,1,2,1,1,1800.0
3283,3283,2,61,2,1,4,3,1,2,1,2,2,2,2100.0
3284,3284,1,65,2,2,2,1,2,1,1,2,8,3,717.5
3285,3285,2,66,2,1,2,3,1,2,1,2,2,2,1600.0
3286,3286,1,61,2,1,4,3,2,2,1,2,2,2,2100.0
3287,3287,2,63,1,1,2,1,1,1,1,2,6,3,723.3333129882812
3288,3288,1,70,2,1,6,3,1,1,1,2,3,3,3650.0
3289,3289,2,74,2,2,3,1,2,1,1,2,2,2,4500.0
3290,3290,2,60,5,3,4,3,2,1,1,2,2,3,4500.0
3291,3291,2,64,4,5,1,3,2,1,2,2,2,3,1750.0
3292,3292,2,67,4,1,6,3,1,2,1,2,2,3,1247.5
3293,3293,2,60,4,2,2,3,1,1,1,2,5,3,1010.0
3294,3294,2,73,2,2,2,3,2,2,1,2,2,2,3450.0
3295,3295,2,63,4,3,2,3,1,2,1,2,1,1,1900.0
3296,3296,1,73,2,2,1,3,2,2,1,2,2,2,3450.0
3297,3297,1,70,4,1,1,3,2,1,1,2,2,3,1600.0
3298,3298,2,84,4,2,2,3,1,1,1,2,3,3,2700.0
3299,3299,2,84,4,2,2,3,1,2,1,2,1,1,4900.0
3300,3300,2,76,4,1,2,3,1,2,1,2,1,1,3300.0
3301,3301,2,89,5,2,7,3,2,1,1,2,4,3,800.0
3302,3302,1,66,1,1,7,3,1,2,1,2,2,2,2400.0
3303,3303,2,69,2,2,1,3,2,1,1,2,6,3,1145.0
3304,3304,1,75,2,2,2,3,1,1,1,2,6,3,1145.0
3305,3305,2,75,1,1,2,3,1,2,1,2,2,2,2400.0
3307,3307,1,78,4,1,4,3,2,2,1,2,1,1,3300.0
3309,3309,1,63,1,2,1,1,2,1,2,2,2,3,3000.0
3310,3310,2,62,3,2,2,3,1,1,1,2,2,3,1350.0
3311,3311,2,72,4,1,1,3,2,2,1,2,2,3,1272.5
3312,3312,1,65,2,1,2,1,2,1,2,2,3,3,900.0
3313,3313,1,74,2,1,1,1,1,1,1,2,6,3,903.3333129882812
3314,3314,2,60,2,1,1,3,1,1,1,2,6,3,903.3333129882812
3315,3315,2,61,2,1,2,3,1,1,2,2,3,3,900.0
3316,3316,2,79,2,1,1,3,1,2,1,2,2,2,1500.0
3317,3317,1,76,2,1,1,3,1,2,1,2,2,2,1500.0
3318,3318,2,71,4,3,7,3,1,2,1,2,1,1,1400.0
3319,3319,1,75,4,4,1,1,2,1,2,2,4,3,2250.0
3320,3320,2,88,4,1,2,3,1,1,1,2,4,3,2750.0
3321,3321,2,63,4,2,1,3,2,2,1,2,1,1,3900.0
3323,3323,2,72,5,1,6,3,1,2,1,2,1,1,2980.0
3324,3324,2,69,2,1,1,3,1,2,1,2,2,2,1800.0
3325,3325,1,76,2,2,1,3,2,2,1,2,2,2,1800.0
3326,3326,2,85,2,1,2,3,2,2,1,2,2,2,2266.5
3327,3327,1,61,4,1,7,1,2,1,1,2,1,1,3200.0
3328,3328,1,82,2,1,2,3,2,2,1,2,2,2,2266.5
3329,3329,2,81,4,2,2,3,1,2,1,2,1,1,2400.0
3330,3330,2,74,4,1,1,3,2,2,1,2,3,3,1766.6666259765625
3331,3331,1,67,4,1,2,3,1,2,1,2,1,1,3450.0
3332,3332,2,66,5,1,2,1,2,2,1,2,1,1,4600.0
3333,3333,2,65,4,1,2,1,1,1,1,2,2,3,950.0
3334,3334,1,66,2,1,2,3,2,1,1,2,4,3,2825.0
3335,3335,2,80,4,1,1,3,1,1,1,2,2,3,3050.0
3336,3336,2,70,4,3,1,3,1,1,1,2,5,3,960.0
3337,3337,2,69,4,4,2,3,2,1,1,2,5,3,1320.0
3338,3338,2,68,4,1,3,3,1,2,1,2,1,1,5250.0
3339,3339,2,63,4,1,2,3,1,1,1,2,5,3,1040.0
3341,3341,2,72,2,1,1,3,1,1,1,2,3,3,2083.333251953125
3342,3342,1,66,2,1,2,3,2,1,1,2,3,3,2083.333251953125
3343,3343,2,60,1,2,1,3,1,1,2,2,9,3,838.888916015625
3344,3344,2,65,2,4,4,3,1,1,2,2,4,3,1437.5
3345,3345,1,64,2,4,1,1,1,1,2,2,4,3,1437.5
3346,3346,1,74,2,2,2,3,1,2,1,2,3,3,2897.0
3347,3347,2,61,5,1,1,3,1,2,1,2,1,1,1600.0
3348,3348,2,77,2,2,4,3,1,2,1,2,3,3,2897.0
3349,3349,2,83,4,2,2,3,1,2,1,2,1,1,2400.0
3350,3350,2,77,5,2,4,3,1,2,1,2,1,1,5100.0
3351,3351,2,77,2,2,2,3,1,2,1,2,1,1,2400.0
3352,3352,2,87,4,2,1,3,1,2,1,2,2,2,1700.0
3353,3353,2,62,5,2,2,3,1,2,1,2,2,2,1700.0
3354,3354,2,66,5,2,1,3,2,2,1,2,1,1,1400.0
3355,3355,1,66,2,2,2,3,2,1,1,2,2,2,4321.5
3356,3356,2,60,2,2,3,1,1,1,1,2,2,2,4321.5
3357,3357,2,66,2,1,4,3,1,1,1,2,5,3,1820.0
3358,3358,1,65,2,1,2,3,2,1,1,2,8,3,527.5
3359,3359,1,69,2,1,2,3,1,1,1,2,5,3,1820.0
3360,3360,2,80,4,3,4,3,1,2,1,2,1,1,4000.0
3361,3361,2,82,4,3,2,3,2,2,1,2,1,1,3000.0
3362,3362,2,83,4,2,2,3,1,2,1,2,1,1,1600.0
3363,3363,2,84,5,1,2,3,1,2,1,2,1,1,4850.0
3364,3364,2,79,2,2,6,3,2,2,1,2,2,2,5000.0
3365,3365,1,64,2,2,1,3,1,1,1,2,3,3,333.3333435058594
3366,3366,2,62,2,2,7,3,1,1,1,2,3,3,333.3333435058594
3367,3367,2,62,2,1,2,3,1,1,1,2,3,3,533.3333129882811
3368,3368,1,90,2,2,6,3,1,2,1,2,2,2,5000.0
3370,3370,2,85,4,1,1,3,1,1,1,2,4,3,1262.5
3372,3372,2,86,4,3,1,3,2,1,1,2,3,3,1666.6666259765625
3373,3373,2,71,5,2,2,3,2,2,1,2,1,1,2500.0
3374,3374,1,61,1,2,2,1,1,1,2,2,6,3,883.3333129882812
3375,3375,2,87,4,3,1,3,1,2,1,2,1,1,3600.0
3376,3376,1,63,2,1,2,1,1,1,2,2,2,3,2000.0
3377,3377,2,63,5,1,2,3,1,1,1,2,4,3,1037.5
3378,3378,1,62,5,1,4,1,1,1,2,2,1,1,1500.0
3379,3379,1,62,2,1,3,1,2,1,1,2,2,2,5025.0
3380,3380,2,74,2,1,1,3,1,1,1,2,4,3,1690.0
3381,3381,2,67,2,4,2,3,1,1,1,2,3,3,1833.3333740234373
3382,3382,1,67,1,5,3,1,2,1,1,2,3,3,2533.333251953125
3383,3383,1,77,2,4,1,3,1,1,1,2,3,3,1833.3333740234373
3384,3384,2,61,1,1,3,3,2,1,1,2,3,3,2533.333251953125
3385,3385,2,88,4,1,2,3,1,1,1,2,2,3,1500.0
3386,3386,1,80,2,3,2,3,2,2,1,2,2,2,1500.0
3387,3387,1,66,2,1,3,3,1,2,1,2,2,2,1600.0
3388,3388,2,77,1,1,3,3,1,1,1,2,2,3,825.0
3389,3389,2,70,2,2,2,3,1,2,1,2,2,2,1500.0
3390,3390,2,63,2,3,4,3,1,2,1,2,2,2,1600.0
3391,3391,1,62,2,2,4,1,2,1,2,2,5,3,1280.0
3392,3392,1,61,2,1,3,3,1,1,1,2,2,3,3190.0
3393,3393,2,62,4,2,4,3,1,2,1,2,4,3,1045.0
