,SEXO,EDAD,CH07,CH15,NIVEL_ED,ESTADO,AM01,V1,V2,V3,IX_TOT,ESTRATO_HOGAR,IPCF
796,2,65,2,1,1,3,2,1,1,2,3,3,1333.3333740234375
797,1,71,1,3,2,3,1,1,1,2,7,3,838.5714111328125
798,2,70,1,2,2,3,1,1,1,2,7,3,838.5714111328125
799,2,61,1,2,2,1,2,1,2,2,2,3,4500.0
800,1,65,2,1,7,3,1,1,1,2,3,3,1333.3333740234375
801,2,72,2,3,2,3,2,1,1,2,2,2,2000.0
802,1,62,1,2,7,1,2,1,1,2,3,3,1000.0
803,1,72,5,1,2,3,2,2,1,2,1,1,2350.0
804,1,75,2,3,2,3,2,1,1,2,2,2,2000.0
805,1,83,4,2,2,3,2,2,1,2,1,1,3275.0
806,1,72,2,3,2,3,2,1,1,2,2,2,3050.0
807,1,72,2,1,4,1,1,1,1,2,3,3,2260.0
808,2,62,3,1,4,1,2,1,1,2,2,2,4400.0
809,1,62,1,3,4,1,1,1,2,2,4,3,805.0
810,1,60,5,1,2,1,2,1,1,2,3,3,1683.3333740234375
811,1,73,2,5,4,3,2,1,2,2,4,3,375.0
812,1,66,2,3,6,3,1,2,1,2,2,2,7000.0
813,2,61,2,1,4,3,1,2,1,2,2,2,2200.0
814,2,64,2,1,4,3,1,2,1,2,2,2,1600.0
815,1,60,2,1,4,3,1,2,1,2,2,3,2950.0
816,1,66,2,3,2,3,2,2,1,2,2,2,2200.0
817,1,68,2,1,4,3,1,2,1,2,2,2,1600.0
818,2,78,4,4,2,3,1,1,1,2,2,2,4400.0
819,2,64,2,3,4,3,1,2,1,2,2,2,7000.0
820,1,71,3,1,2,3,2,2,1,2,1,1,3300.0
821,2,76,2,5,5,3,1,1,2,2,4,3,375.0
822,1,81,4,2,1,3,1,2,1,2,1,1,2500.0
823,2,74,2,3,2,3,1,2,1,2,3,3,1433.3333740234375
824,1,74,2,3,7,3,2,2,1,2,3,3,1433.3333740234375
825,1,62,2,2,2,1,2,1,2,2,4,3,2362.5
826,2,69,4,4,1,3,2,2,1,2,2,3,1500.0
827,2,84,4,1,1,3,2,1,1,2,2,3,1280.0
828,2,66,2,2,2,3,1,1,1,2,4,3,3375.5
829,2,74,4,1,6,3,1,2,1,2,1,1,7300.0
830,1,90,4,3,1,3,1,2,1,2,5,3,308.0
831,2,66,2,1,4,3,1,1,2,2,4,3,750.0
832,2,74,4,3,7,3,1,2,1,2,2,3,1500.0
833,2,83,4,2,7,3,1,2,1,2,1,1,1500.0
834,1,70,2,2,2,3,1,1,1,2,4,3,3375.5
835,1,66,2,1,1,3,2,1,1,2,2,3,2100.0
836,2,64,3,1,2,3,1,1,1,2,2,3,270.0
837,2,65,2,3,4,3,2,1,1,2,3,3,4666.66650390625
838,2,71,4,3,1,3,2,1,1,2,3,3,3166.666748046875
839,1,66,2,2,1,3,2,2,1,2,2,2,1950.0
840,2,63,2,2,2,1,2,1,1,2,3,3,5200.0
841,1,60,2,1,2,1,1,1,1,2,3,3,1266.6666259765625
842,1,79,2,1,4,3,1,2,1,2,2,2,1750.0
843,2,64,2,2,1,3,1,2,1,2,2,2,4435.5
844,2,79,5,4,1,3,1,2,1,2,1,1,1800.0
845,1,66,2,2,1,3,1,2,1,2,2,2,4435.5
846,2,71,2,2,1,3,2,2,1,2,2,2,1989.0
847,2,72,2,2,2,3,1,1,1,2,5,3,1440.0
848,2,64,4,2,1,3,2,2,1,2,1,1,1300.0
849,1,73,2,2,1,3,1,2,1,2,2,2,1989.0
850,1,87,4,2,7,3,1,1,1,2,3,3,2333.333251953125
851,2,64,4,1,2,3,1,1,1,2,6,3,1058.3333740234377
852,1,92,4,2,1,3,1,1,1,2,4,3,3150.0
853,2,60,2,1,6,3,1,1,1,2,2,3,15010.0
854,2,62,5,2,1,3,1,2,1,2,1,1,3300.0
855,2,60,5,2,4,3,1,2,1,2,1,1,1100.0
856,2,69,2,3,4,3,1,2,1,2,2,2,3500.0
857,2,87,4,2,7,3,1,2,1,2,2,2,1300.0
858,2,73,4,1,2,3,2,2,1,2,1,1,2000.0
859,1,63,5,1,1,3,1,2,1,2,2,2,1300.0
860,1,73,2,3,2,3,1,2,1,2,2,2,3500.0
861,1,71,2,3,1,3,2,1,1,2,5,3,2170.0
862,2,85,4,2,1,3,1,1,1,2,8,3,1155.625
863,1,81,2,1,2,3,1,2,1,2,2,2,6000.0
864,2,66,2,3,1,3,1,1,1,2,5,3,2170.0
865,2,70,4,2,7,3,2,1,1,2,8,3,2131.25
866,2,75,2,1,2,3,2,2,1,2,2,2,6000.0
867,1,61,2,1,2,3,1,1,1,2,5,3,1900.0
868,2,61,2,1,2,1,2,1,1,2,5,3,1900.0
869,1,60,2,2,2,1,2,1,2,2,4,3,1300.0
870,1,73,5,1,7,3,2,2,1,2,1,1,3100.0
871,2,69,2,1,2,3,1,2,1,2,8,3,545.0
872,2,80,2,1,1,3,1,2,1,2,2,2,1500.0
873,1,69,2,1,1,3,2,2,1,2,8,3,545.0
874,1,82,4,1,4,3,1,2,1,2,2,3,6250.0
875,2,84,2,1,1,3,1,2,1,2,2,2,1850.0
876,1,64,2,1,1,1,2,1,1,2,5,3,2100.0
877,1,66,2,3,1,1,1,1,2,2,4,3,1875.0
878,1,74,2,2,1,3,2,2,1,2,2,2,1150.0
879,1,61,2,2,2,3,2,1,1,2,3,3,3666.666748046875
880,1,88,2,1,1,3,1,2,1,2,2,2,1850.0
881,2,79,4,1,1,3,1,1,1,2,5,3,820.0
882,2,74,2,1,7,3,1,2,1,2,2,2,700.0
883,1,69,4,1,2,3,1,1,1,2,1,1,2800.0
884,2,67,3,2,2,3,1,1,1,2,2,2,6900.0
885,1,65,2,4,1,1,1,1,1,2,6,3,1083.3333740234377
886,2,86,4,4,1,3,1,1,1,2,2,2,6900.0
887,2,85,4,4,7,3,1,1,1,2,6,3,1083.3333740234377
888,2,78,4,4,7,3,2,1,1,2,6,3,1033.3333740234377
889,2,76,4,5,1,3,1,1,1,2,2,3,2350.0
890,1,65,2,1,7,3,2,2,1,2,2,2,700.0
891,2,62,4,1,2,3,1,1,1,2,4,3,5125.0
892,1,64,2,4,6,1,2,1,2,2,3,3,800.0
893,1,80,2,2,6,3,1,1,1,2,2,2,5500.0
894,1,79,2,2,1,3,2,1,1,2,4,3,8500.0
895,2,72,2,1,6,1,2,1,1,2,2,2,5500.0
896,2,74,2,2,1,3,2,1,1,2,4,3,8500.0
897,2,61,5,1,2,3,2,2,1,2,3,3,483.3333435058594
898,2,64,1,2,1,3,2,1,1,2,2,2,2150.0
899,1,65,1,1,7,1,1,1,1,2,2,2,2150.0
900,2,61,2,1,2,1,2,1,1,2,5,3,3499.199951171875
901,2,61,2,1,2,3,1,1,1,2,3,3,934.0
902,1,64,2,1,2,1,1,1,1,2,3,3,934.0
903,1,60,2,1,1,1,2,1,2,2,7,3,1321.4285888671875
904,1,67,2,1,2,1,1,1,1,2,5,3,3499.199951171875
